;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
0;'98 Koshien;PlayStation;1998;Magical Company;0.4;0.15;0.1;0.12;0.03;5th Gen;Home Console;Sony;98 koshien
1;.hack//G.U. Last Recode;PlayStation 4;2017;CyberConnect2;0.25;0.1;0.04;0.08;0.03;8th Gen;Home Console;Sony;.hack//g.u. last recode
2;.hack//G.U. Vol.1//Rebirth;PlayStation 2;2006;CyberConnect2;0.17;0.0;0.0;0.17;0.0;6th Gen;Home Console;Sony;.hack//g.u. vol.1//rebirth
3;.hack//G.U. Vol.2//Reminisce;PlayStation 2;2007;CyberConnect2;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony;.hack//g.u. vol.2//reminisce
4;.hack//G.U. Vol.2//Reminisce (jp sales);PlayStation 2;2007;CyberConnect2;0.16;0.0;0.0;0.16;0.0;6th Gen;Home Console;Sony;.hack//g.u. vol.2//reminisce (jp sales)
5;.hack//G.U. Vol.3//Redemption;PlayStation 2;2007;CyberConnect2;0.17;0.0;0.0;0.17;0.0;6th Gen;Home Console;Sony;.hack//g.u. vol.3//redemption
6;.hack//Infection Part 1;PlayStation 2;2003;CyberConnect2;1.26;0.49;0.38;0.26;0.13;6th Gen;Home Console;Sony;.hack//infection part 1
7;.hack//Link;PlayStation Portable;2010;CyberConnect2;0.14;0.0;0.0;0.14;0.0;6th Gen;Handheld;Sony;.hack//link
8;.hack//Mutation Part 2;PlayStation 2;2003;CyberConnect2;0.67;0.23;0.18;0.2;0.06;6th Gen;Home Console;Sony;.hack//mutation part 2
9;.hack//Outbreak Part 3;PlayStation 2;2003;CyberConnect2;0.46;0.14;0.11;0.17;0.04;6th Gen;Home Console;Sony;.hack//outbreak part 3
10;.hack//Quarantine Part 4: The Final Chapter;PlayStation 2;2004;CyberConnect2;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony;.hack//quarantine part 4 the final chapter
11;.hack: Sekai no Mukou ni + Versus;PlayStation 3;2012;CyberConnect2;0.03;0.0;0.0;0.03;0.0;7th Gen;Home Console;Sony;.hack sekai no mukou ni + versus
12;0-ji no Kane to Cinderella: Halloween Wedding;PlayStation Portable;2013;Unknown;0.01;0.0;0.0;0.01;0.0;6th Gen;Handheld;Sony;0 ji no kane to cinderella halloween wedding
13;007 Legends;PlayStation 3;2012;Eurocom;0.34;0.11;0.17;0.0;0.06;7th Gen;Home Console;Sony;007 legends
14;007 Legends;Wii U;2012;Eurocom;0.13;0.06;0.06;0.0;0.01;8th Gen;Home Console;Nintendo;007 legends
15;007 Legends;Xbox 360;2012;Eurocom;0.28;0.13;0.13;0.0;0.02;7th Gen;Home Console;Microsoft;007 legends
16;007 Racing;PlayStation;2000;Eutechnyx;0.53;0.3;0.2;0.0;0.03;5th Gen;Home Console;Sony;007 racing
17;007: Quantum of Solace;Nintendo DS;2008;Vicarious Visions;0.13;0.11;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;007 quantum of solace
18;007: Quantum of Solace;PlayStation 2;2008;Treyarch;0.43;0.17;0.0;0.0;0.26;6th Gen;Home Console;Sony;007 quantum of solace
19;007: Quantum of Solace;PlayStation 3;2008;Treyarch;1.15;0.43;0.51;0.02;0.19;7th Gen;Home Console;Sony;007 quantum of solace
20;007: Quantum of Solace;Wii;2008;Beenox;0.65;0.29;0.28;0.01;0.07;7th Gen;Home Console;Nintendo;007 quantum of solace
21;007: Quantum of Solace;Xbox 360;2008;Treyarch;1.48;0.82;0.51;0.01;0.14;7th Gen;Home Console;Microsoft;007 quantum of solace
22;007: The World is Not Enough;Nintendo 64;2000;Eurocom Entertainment Software;1.56;1.13;0.38;0.02;0.03;5th Gen;Home Console;Nintendo;007 the world is not enough
23;007: The World is not Enough;Nintendo 64;2000;;1.56;1.13;0.38;0.02;0.03;5th Gen;Home Console;Nintendo;007 the world is not enough
24;007: The World is not Enough;PlayStation;2000;Black Ops Entertainment;0.92;0.51;0.35;0.0;0.06;5th Gen;Home Console;Sony;007 the world is not enough
25;007: Tomorrow Never Dies;PlayStation;1999;Black Ops Entertainment;3.21;1.72;1.33;0.0;0.16;5th Gen;Home Console;Sony;007 tomorrow never dies
26;1 vs. 100;Nintendo DS;2008;ECI;0.09;0.08;0.0;0.0;0.01;7th Gen;Handheld;Nintendo;1 vs. 100
27;1/2 Summer +;PlayStation Portable;2013;Unknown;0.01;0.0;0.0;0.01;0.0;6th Gen;Handheld;Sony;1/2 summer +
28;10 Minute Solution;Wii;2010;Anchor Bay Entertainment;0.08;0.06;0.01;0.0;0.01;7th Gen;Home Console;Nintendo;10 minute solution
29;100 All-Time Favorites;Nintendo DS;2009;Ubisoft;0.51;0.35;0.12;0.0;0.04;7th Gen;Handheld;Nintendo;100 all time favorites
30;100 Classic Books;Nintendo DS;2010;Genius Sonority Inc.;0.66;0.12;0.52;0.0;0.02;7th Gen;Handheld;Nintendo;100 classic books
31;100 Classic Books;Nintendo DS;2008;;0.67;0.13;0.52;0.0;0.02;7th Gen;Handheld;Nintendo;100 classic books
32;100 Classic Games;Nintendo DS;2011;Easy Interactive;0.03;0.0;0.03;0.0;0.0;7th Gen;Handheld;Nintendo;100 classic games
33;100 Kiri Golf DS;Nintendo DS;2008;GungHo Works;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;100 kiri golf ds
34;100% Pascal Sensei: Kanpeki Paint Bombers;Nintendo 3DS;2017;Konami Digital Entertainment;0.03;0.0;0.0;0.03;0.0;8th Gen;Handheld;Nintendo;100% pascal sensei kanpeki paint bombers
35;1000 Cooking Recipes from ELLE Ã  table;Nintendo DS;2010;;0.02;0.0;0.02;0.0;0.0;7th Gen;Handheld;Nintendo;1000 cooking recipes from elle a table
36;1000 Cooking Recipes from ELLE √† table;Nintendo DS;2010;Agenda;0.02;0.0;0.02;0.0;0.0;7th Gen;Handheld;Nintendo;1000 cooking recipes from elle √† table
37;1001 Crosswords;Nintendo DS;2012;Mastertronic;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;1001 crosswords
38;1001 Touch Games;Nintendo DS;2011;Avanquest Software;0.31;0.11;0.17;0.0;0.03;7th Gen;Handheld;Nintendo;1001 touch games
39;101-in-1 Explosive Megamix;Nintendo DS;2009;Nordcurrent;0.2;0.05;0.13;0.0;0.02;7th Gen;Handheld;Nintendo;101 in 1 explosive megamix
40;101-in-1 Party Megamix Wii;Wii;2009;Nordcurrent;0.22;0.19;0.01;0.0;0.02;7th Gen;Home Console;Nintendo;101 in 1 party megamix wii
41;101-in-1 Sports Megamix;Nintendo DS;2010;Nordcurrent;0.09;0.08;0.0;0.0;0.01;7th Gen;Handheld;Nintendo;101 in 1 sports megamix
42;101-in-1 Sports Party Megamix;Wii;2011;Nordcurrent;0.02;0.02;0.0;0.0;0.0;7th Gen;Home Console;Nintendo;101 in 1 sports party megamix
43;1080Â°: TenEighty Snowboarding;Nintendo 64;1998;;2.04;1.25;0.61;0.13;0.05;5th Gen;Home Console;Nintendo;1080a° teneighty snowboarding
44;11eyes: CrossOver;PlayStation Portable;2010;Genterprise;0.02;0.0;0.0;0.02;0.0;6th Gen;Handheld;Sony;11eyes crossover
45;11eyes: CrossOver;Xbox 360;2009;Genterprise;0.02;0.0;0.0;0.02;0.0;7th Gen;Home Console;Microsoft;11eyes crossover
46;12-Sai. Honto no Kimochi;Nintendo 3DS;2014;Happinet;0.07;0.0;0.0;0.07;0.0;8th Gen;Handheld;Nintendo;12 sai. honto no kimochi
47;12-Sai. Koisuru Diary;Nintendo 3DS;2016;Unknown;0.08;0.0;0.0;0.08;0.0;8th Gen;Handheld;Nintendo;12 sai. koisuru diary
48;12-Sai. Torokeru Puzzle Futari no Harmony;Nintendo 3DS;2017;Happinet;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Nintendo;12 sai. torokeru puzzle futari no harmony
49;12Riven: The Psi-Climinal of Integral;PlayStation 2;2008;KID Corporation;0.04;0.0;0.0;0.04;0.0;6th Gen;Home Console;Sony;12riven the psi climinal of integral
50;12Riven: The Psi-Climinal of Integral;PlayStation Portable;2009;KID Corporation;0.0;0.0;0.0;0.0;0.0;6th Gen;Handheld;Sony;12riven the psi climinal of integral
51;18 Wheeler: American Pro Trucker;GameCube;2002;Acclaim Studios Cheltenham;0.11;0.09;0.02;0.0;0.0;6th Gen;Home Console;Nintendo;18 wheeler american pro trucker
52;18 Wheeler: American Pro Trucker;PlayStation 2;2001;Acclaim Studios Cheltenham;0.4;0.2;0.15;0.0;0.05;6th Gen;Home Console;Sony;18 wheeler american pro trucker
53;187: Ride or Die;PlayStation 2;2005;Ubisoft Paris;0.15;0.07;0.06;0.0;0.02;6th Gen;Home Console;Sony;187 ride or die
54;187: Ride or Die;Xbox;2005;Ubisoft Paris;0.06;0.05;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;187 ride or die
55;2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;Xbox;2005;Sega;0.53;0.4;0.11;0.0;0.02;6th Gen;Home Console;Microsoft;2 in 1 combo pack sonic heroes / super monkey ball deluxe
56;2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;Xbox 360;2013;Unknown;0.11;0.09;0.01;0.0;0.01;7th Gen;Home Console;Microsoft;2 in 1 combo pack sonic heroes / super monkey ball deluxe
57;2 in 1 Combo Pack: Sonic Mega Collection Plus / Super Monkey Ball Deluxe;Xbox;2005;Sega;0.02;0.02;0.0;0.0;0.0;6th Gen;Home Console;Microsoft;2 in 1 combo pack sonic mega collection plus / super monkey ball deluxe
58;2002 FIFA World Cup;GameCube;2002;EA Canada;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;2002 fifa world cup
59;2002 FIFA World Cup;PlayStation 2;2002;EA Canada;0.6;0.21;0.17;0.16;0.06;6th Gen;Home Console;Sony;2002 fifa world cup
60;2002 FIFA World Cup;Xbox;2002;EA Canada;0.19;0.14;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;2002 fifa world cup
61;2010 FIFA World Cup South Africa;PlayStation 3;2010;EA Canada;1.23;0.3;0.64;0.07;0.22;7th Gen;Home Console;Sony;2010 fifa world cup south africa
62;2010 FIFA World Cup South Africa;PlayStation Portable;2010;EA Canada;0.47;0.09;0.23;0.03;0.12;6th Gen;Handheld;Sony;2010 fifa world cup south africa
63;2010 FIFA World Cup South Africa;Wii;2010;EA Canada;0.43;0.23;0.15;0.01;0.04;7th Gen;Home Console;Nintendo;2010 fifa world cup south africa
64;2010 FIFA World Cup South Africa;Xbox 360;2010;EA Canada;0.85;0.32;0.42;0.02;0.09;7th Gen;Home Console;Microsoft;2010 fifa world cup south africa
65;2014 FIFA World Cup Brazil;PlayStation 3;2014;EA Canada;0.66;0.15;0.4;0.01;0.1;7th Gen;Home Console;Sony;2014 fifa world cup brazil
66;2014 FIFA World Cup Brazil;Xbox 360;2014;EA Canada;0.43;0.15;0.25;0.0;0.03;7th Gen;Home Console;Microsoft;2014 fifa world cup brazil
67;24: The Game;PlayStation 2;2006;SCEE Cambridge;0.31;0.15;0.12;0.0;0.04;6th Gen;Home Console;Sony;24 the game
68;25 To Life;PlayStation 2;2006;Avalanche Software / Ritual Entertainment;0.42;0.35;0.01;0.0;0.06;6th Gen;Home Console;Sony;25 to life
69;25 To Life;Xbox;2006;Avalanche Software / Ritual Entertainment;0.17;0.12;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;25 to life
70;25 to Life;PlayStation 2;2006;;0.42;0.35;0.01;0.0;0.06;6th Gen;Home Console;Sony;25 to life
71;25 to Life;Xbox;2006;;0.17;0.12;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;25 to life
72;2Xtreme;PlayStation;1996;SCEA;1.4;1.15;0.2;0.0;0.05;5th Gen;Home Console;Sony;2xtreme
73;2nd Super Robot Wars Original Generation;PlayStation 3;2012;TOSE;0.3;0.0;0.0;0.3;0.0;7th Gen;Home Console;Sony;2nd super robot wars original generation
74;3 in 1: Solitaire, Mahjong & Tangram;Nintendo DS;2010;Deep Silver;0.08;0.0;0.07;0.0;0.01;7th Gen;Handheld;Nintendo;3 in 1 solitaire, mahjong & tangram
75;300: March to Glory;PlayStation Portable;2007;Collision Studios;0.42;0.27;0.08;0.0;0.07;6th Gen;Handheld;Sony;300 march to glory
76;3D Baseball;PlayStation;1996;Crystal Dynamics;0.03;0.02;0.01;0.0;0.0;5th Gen;Home Console;Sony;3d baseball
77;3D Dot Game Heroes;PlayStation 3;2009;;0.58;0.36;0.12;0.03;0.07;7th Gen;Home Console;Sony;3d dot game heroes
78;3D Lemmings;PlayStation;1995;Clockwork Games;0.05;0.03;0.02;0.0;0.0;5th Gen;Home Console;Sony;3d lemmings
79;3D Tank Warfare Simulator Panzer Front;PlayStation;2001;Enterbrain;0.11;0.06;0.04;0.0;0.01;5th Gen;Home Console;Sony;3d tank warfare simulator panzer front
80;3DS Classic Collection;Nintendo 3DS;2016;;0.02;0.02;0.0;0.0;0.0;8th Gen;Handheld;Nintendo;3ds classic collection
81;3Xtreme;PlayStation;1999;Unknown;0.9;0.5;0.34;0.0;0.06;5th Gen;Home Console;Sony;3xtreme
82;3rd Super Robot Wars Z Jigoku Hen;PlayStation 3;2014;Unknown;0.23;0.0;0.0;0.23;0.0;7th Gen;Home Console;Sony;3rd super robot wars z jigoku hen
83;3rd Super Robot Wars Z Jigoku Hen;PlayStation Vita;2014;Unknown;0.19;0.0;0.0;0.19;0.0;8th Gen;Handheld;Sony;3rd super robot wars z jigoku hen
84;3rd Super Robot Wars Z: Tengoku-Hen;PlayStation 3;2015;Banpresto;0.16;0.0;0.0;0.16;0.0;7th Gen;Home Console;Sony;3rd super robot wars z tengoku hen
85;3rd Super Robot Wars Z: Tengoku-Hen;PlayStation Vita;2015;Banpresto;0.2;0.0;0.0;0.2;0.0;8th Gen;Handheld;Sony;3rd super robot wars z tengoku hen
86;4 Elements;Nintendo 3DS;2013;Playrix Entertainment;0.02;0.0;0.02;0.0;0.0;8th Gen;Handheld;Nintendo;4 elements
87;4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship;Nintendo DS;2005;Sensory Sweep;0.12;0.11;0.0;0.0;0.01;7th Gen;Handheld;Nintendo;4 game fun pack monopoly / boggle / yahtzee / battleship
88;4 in 1 Action Pack;PlayStation 3;2012;Unknown;0.0;0.0;0.0;0.0;0.0;7th Gen;Home Console;Sony;4 in 1 action pack
89;40 Winks;PlayStation;1999;Eurocom Entertainment Software;0.31;0.17;0.12;0.0;0.02;5th Gen;Home Console;Sony;40 winks
90;428: Fuusa Sareta Shibuya de;PlayStation 3;2009;ChunSoft;0.02;0.0;0.0;0.02;0.0;7th Gen;Home Console;Sony;428 fuusa sareta shibuya de
91;428: Fuusa Sareta Shibuya de;PlayStation Portable;2009;ChunSoft;0.04;0.0;0.0;0.04;0.0;6th Gen;Handheld;Sony;428 fuusa sareta shibuya de
92;428: Fuusa Sareta Shibuya de;Wii;2008;ChunSoft;0.13;0.0;0.0;0.13;0.0;7th Gen;Home Console;Nintendo;428 fuusa sareta shibuya de
93;428: Shibuya Scramble;PlayStation 4;2018;Abstraction Games;0.02;0.01;0.0;0.01;0.0;8th Gen;Home Console;Sony;428 shibuya scramble
94;4X4 EVO 2;GameCube;2002;Terminal Reality;0.14;0.11;0.03;0.0;0.0;6th Gen;Home Console;Nintendo;4x4 evo 2
95;4X4 EVO 2;Xbox;2001;Terminal Reality;0.24;0.18;0.05;0.0;0.01;6th Gen;Home Console;Microsoft;4x4 evo 2
96;4x4 EVO 2;GameCube;2002;;0.14;0.11;0.03;0.0;0.0;6th Gen;Home Console;Nintendo;4x4 evo 2
97;4x4 EVO 2;Xbox;2001;;0.24;0.18;0.05;0.0;0.01;6th Gen;Home Console;Microsoft;4x4 evo 2
98;4x4 Evolution;PlayStation 2;2001;Terminal Reality;0.32;0.16;0.12;0.0;0.04;6th Gen;Home Console;Sony;4x4 evolution
99;50 Cent: Blood on the Sand;PlayStation 3;2009;Swordfish Studios;0.2;0.1;0.06;0.01;0.03;7th Gen;Home Console;Sony;50 cent blood on the sand
100;50 Cent: Blood on the Sand;Xbox 360;2009;Swordfish Studios;0.21;0.12;0.07;0.0;0.02;7th Gen;Home Console;Microsoft;50 cent blood on the sand
101;50 Cent: Bulletproof;PlayStation 2;2005;Genuine;1.77;0.85;0.76;0.0;0.16;6th Gen;Home Console;Sony;50 cent bulletproof
102;50 Cent: Bulletproof;PlayStation Portable;2006;High Voltage Software;0.09;0.08;0.0;0.0;0.01;6th Gen;Handheld;Sony;50 cent bulletproof
103;50 Cent: Bulletproof;Xbox;2005;Genuine Games;0.45;0.33;0.1;0.0;0.02;6th Gen;Home Console;Microsoft;50 cent bulletproof
104;50 Classic Games;Nintendo 3DS;2012;Unknown;0.01;0.0;0.01;0.0;0.0;8th Gen;Handheld;Nintendo;50 classic games
105;50 Classic Games;Nintendo DS;2009;cerasus.media GmbH;0.54;0.5;0.0;0.0;0.04;7th Gen;Handheld;Nintendo;50 classic games
106;64 de Hakken! Tamagotchi Minna de Tamagotchi World;Nintendo 64;1997;AI;0.22;0.0;0.0;0.22;0.0;5th Gen;Home Console;Nintendo;64 de hakken! tamagotchi minna de tamagotchi world
107;7 Days to Die;PlayStation 4;2016;The Fun Pimps;0.2;0.09;0.08;0.0;0.03;8th Gen;Home Console;Sony;7 days to die
108;7 Days to Die;Xbox One;2016;The Fun Pimps;0.12;0.09;0.02;0.0;0.01;8th Gen;Home Console;Microsoft;7 days to die
109;7 Wonders II;Nintendo DS;2010;MumboJumbo;0.31;0.13;0.15;0.0;0.03;7th Gen;Handheld;Nintendo;7 wonders ii
110;7 Wonders II;Nintendo DS;2009;;0.32;0.14;0.15;0.0;0.03;7th Gen;Handheld;Nintendo;7 wonders ii
111;7 Wonders of the Ancient World;Nintendo DS;2007;Hot Lava Games;0.12;0.1;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;7 wonders of the ancient world
112;7 Wonders of the Ancient World;PlayStation Portable;2007;Hot Lava Games;0.08;0.07;0.0;0.0;0.01;6th Gen;Handheld;Sony;7 wonders of the ancient world
113;7 Wonders: Treasures of Seven;Nintendo DS;2011;Avanquest Software;0.03;0.01;0.02;0.0;0.0;7th Gen;Handheld;Nintendo;7 wonders treasures of seven
114;7'scarlet;PlayStation Vita;2018;Unknown;0.02;0.0;0.0;0.02;0.0;8th Gen;Handheld;Sony;7scarlet
115;7th Dragon;Nintendo DS;2009;imageepoch Inc.;0.14;0.0;0.0;0.14;0.0;7th Gen;Handheld;Nintendo;7th dragon
116;7th Dragon 2020;PlayStation Portable;2011;imageepoch Inc.;0.2;0.0;0.0;0.2;0.0;6th Gen;Handheld;Sony;7th dragon 2020
117;7th Dragon 2020-II;PlayStation Portable;2013;imageepoch Inc.;0.13;0.0;0.0;0.13;0.0;6th Gen;Handheld;Sony;7th dragon 2020 ii
118;7th Dragon III Code: VFD;Nintendo 3DS;2016;Sega;0.24;0.06;0.04;0.13;0.01;8th Gen;Handheld;Nintendo;7th dragon iii code vfd
119;7th Dragon III Code: VFD;Nintendo 3DS;2015;;0.15;0.03;0.0;0.12;0.0;8th Gen;Handheld;Nintendo;7th dragon iii code vfd
120;8 to Glory: The Official Game of the PBR;PlayStation 4;2018;Three Gates;0.04;0.03;0.0;0.0;0.01;8th Gen;Home Console;Sony;8 to glory the official game of the pbr
121;8 to Glory: The Official Game of the PBR;Xbox One;2018;Three Gates;0.02;0.02;0.0;0.0;0.0;8th Gen;Home Console;Microsoft;8 to glory the official game of the pbr
122;8-Bit Armies;PlayStation 4;2018;Petroglyph Games;0.04;0.03;0.0;0.0;0.01;8th Gen;Home Console;Sony;8 bit armies
123;8-Bit Armies;Xbox One;2018;Petroglyph Games;0.03;0.03;0.0;0.0;0.0;8th Gen;Home Console;Microsoft;8 bit armies
124;88 Heroes: 98 Heroes Edition;Switch;2017;Bitmap Bureau;0.02;0.0;0.02;0.0;0.0;8th Gen;Hybrid;Nintendo;88 heroes 98 heroes edition
125;8Ball Allstars;Nintendo DS;2010;The Code Monkeys;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;8ball allstars
126;99 no Namida;Nintendo DS;2008;Bandai Namco Games;0.04;0.0;0.0;0.04;0.0;7th Gen;Handheld;Nintendo;99 no namida
127;999: Nine Hours, Nine Persons, Nine Doors;Nintendo DS;2010;Spike;0.36;0.31;0.0;0.03;0.02;7th Gen;Handheld;Nintendo;999 nine hours, nine persons, nine doors
128;999: Nine Hours, Nine Persons, Nine Doors;Nintendo DS;2009;;0.43;0.37;0.0;0.03;0.03;7th Gen;Handheld;Nintendo;999 nine hours, nine persons, nine doors
129;A Boy and His Blob;Wii;2009;WayForward Technologies;0.21;0.18;0.01;0.0;0.02;7th Gen;Home Console;Nintendo;a boy and his blob
130;A Bug's Life;Nintendo 64;1999;Traveller's Tales;0.63;0.49;0.13;0.0;0.01;5th Gen;Home Console;Nintendo;a bugs life
131;A Bug's Life;PlayStation;1998;Traveller's Tales;2.79;1.96;0.72;0.0;0.11;5th Gen;Home Console;Sony;a bugs life
132;A Collection of Activision Classic Games for the Atari 2600;PlayStation;1998;Livesay Technologies, Inc.;1.37;0.76;0.52;0.0;0.09;5th Gen;Home Console;Sony;a collection of activision classic games for the atari 2600
133;A Collection of Classic Games from the Intellivision;PlayStation;1999;;0.31;0.17;0.12;0.0;0.02;5th Gen;Home Console;Sony;a collection of classic games from the intellivision
134;A Collection of Intellivision Classic Games;PlayStation;1999;LTI;0.31;0.17;0.12;0.0;0.02;5th Gen;Home Console;Sony;a collection of intellivision classic games
135;A Good Librarian Like a Good Shepherd: Library Party;PlayStation Vita;2015;August;0.04;0.0;0.0;0.04;0.0;8th Gen;Handheld;Sony;a good librarian like a good shepherd library party
136;A Ressha de Gyoukou 2001;PlayStation 2;2001;ArtDink;0.03;0.0;0.0;0.03;0.0;6th Gen;Home Console;Sony;a ressha de gyoukou 2001
137;A Ressha de Ikou DS;Nintendo DS;2009;ArtDink;0.04;0.0;0.0;0.04;0.0;7th Gen;Handheld;Nintendo;a ressha de ikou ds
138;A Way Out;PlayStation 4;2018;Hazelight;0.47;0.23;0.16;0.0;0.08;8th Gen;Home Console;Sony;a way out
139;A Way Out;Xbox One;2018;Hazelight;0.24;0.17;0.05;0.0;0.02;8th Gen;Home Console;Microsoft;a way out
140;A Witch's Tale;Nintendo DS;2009;Hit Maker;0.12;0.08;0.0;0.03;0.01;7th Gen;Handheld;Nintendo;a witchs tale
141;A-Train;PlayStation;1996;ArtDink;0.08;0.02;0.01;0.04;0.01;5th Gen;Home Console;Sony;a train
142;A-Train 3D: City Simulator;Nintendo 3DS;2015;ArtDink;0.06;0.0;0.0;0.06;0.0;8th Gen;Handheld;Nintendo;a train 3d city simulator
143;A-Train 3D: City Simulator Neo;Nintendo 3DS;2016;ArtDink;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Nintendo;a train 3d city simulator neo
144;A-Train 6;PlayStation 2;2004;ArtDink;0.06;0.0;0.0;0.06;0.0;6th Gen;Home Console;Sony;a train 6
145;A-Train Exp.;PlayStation 4;2017;ArtDink;0.02;0.0;0.0;0.02;0.0;8th Gen;Home Console;Sony;a train exp.
146;A-Train HX;Xbox 360;2008;ArtDink;0.0;0.0;0.0;0.0;0.0;7th Gen;Home Console;Microsoft;a train hx
147;A-Train: City Simulator;Nintendo 3DS;2014;;0.06;0.0;0.0;0.06;0.0;8th Gen;Handheld;Nintendo;a train city simulator
148;A. IV Evolution: A Ressha de Ikou 4;PlayStation;1994;ArtDink;0.26;0.0;0.0;0.24;0.02;5th Gen;Home Console;Sony;a. iv evolution a ressha de ikou 4
149;A.C.E.: Another Century's Episode;PlayStation 2;2005;From Software;0.26;0.0;0.0;0.26;0.0;6th Gen;Home Console;Sony;a.c.e. another centurys episode
150;A.C.E.: Another Century's Episode 2;PlayStation 2;2006;From Software;0.18;0.0;0.0;0.18;0.0;6th Gen;Home Console;Sony;a.c.e. another centurys episode 2
151;A.C.E.: Another Century's Episode 2 - Special Vocal Version;PlayStation 2;2007;From Software;0.01;0.0;0.0;0.01;0.0;6th Gen;Home Console;Sony;a.c.e. another centurys episode 2 special vocal version
152;A.C.E.: Another Century's Episode 3: The Final;PlayStation 2;2007;From Software;0.26;0.0;0.0;0.26;0.0;6th Gen;Home Console;Sony;a.c.e. another centurys episode 3 the final
153;A.C.E.: Another Century's Episode Portable;PlayStation Portable;2011;From Software;0.12;0.0;0.0;0.12;0.0;6th Gen;Handheld;Sony;a.c.e. another centurys episode portable
154;A.C.E.: Another Century's Episode R;PlayStation 3;2010;From Software;0.26;0.0;0.0;0.26;0.0;7th Gen;Home Console;Sony;a.c.e. another centurys episode r
155;ABBA: You Can Dance;Wii;2011;Ubisoft;0.78;0.18;0.5;0.0;0.1;7th Gen;Home Console;Nintendo;abba you can dance
156;ABZU;PlayStation 4;2017;Giant Squid Studios;0.04;0.03;0.0;0.0;0.01;8th Gen;Home Console;Sony;abzu
157;ABZU;Xbox One;2017;Giant Squid Studios;0.02;0.02;0.0;0.0;0.0;8th Gen;Home Console;Microsoft;abzu
158;AC/DC LIVE: Rock Band Track Pack;PlayStation 2;2008;Harmonix Music Systems;0.16;0.08;0.06;0.0;0.02;6th Gen;Home Console;Sony;ac/dc live rock band track pack
159;AC/DC LIVE: Rock Band Track Pack;PlayStation 3;2008;Harmonix Music Systems;0.24;0.21;0.01;0.0;0.02;7th Gen;Home Console;Sony;ac/dc live rock band track pack
160;AC/DC LIVE: Rock Band Track Pack;Wii;2008;Harmonix Music Systems;0.26;0.24;0.0;0.0;0.02;7th Gen;Home Console;Nintendo;ac/dc live rock band track pack
161;AC/DC LIVE: Rock Band Track Pack;Xbox 360;2008;Harmonix Music Systems;0.23;0.21;0.0;0.0;0.02;7th Gen;Home Console;Microsoft;ac/dc live rock band track pack
162;ADK Tamashii;PlayStation 2;2008;SNK Playmore Corporation;0.0;0.0;0.0;0.0;0.0;6th Gen;Home Console;Sony;adk tamashii
163;AIR;PlayStation Portable;2007;Key;0.02;0.0;0.0;0.02;0.0;6th Gen;Handheld;Sony;air
164;AKB1/149: Love Election;PlayStation 3;2013;ArtDink;0.08;0.0;0.0;0.08;0.0;7th Gen;Home Console;Sony;akb1/149 love election
165;AKB1/149: Love Election;PlayStation Portable;2012;ArtDink;0.23;0.0;0.0;0.23;0.0;6th Gen;Handheld;Sony;akb1/149 love election
166;AKB1/149: Love Election;PlayStation Vita;2012;ArtDink;0.07;0.0;0.0;0.07;0.0;8th Gen;Handheld;Sony;akb1/149 love election
167;AKB1/48: Idol to Guam de Koishitara...;PlayStation Portable;2011;Bandai Namco Games;0.4;0.0;0.0;0.4;0.0;6th Gen;Handheld;Sony;akb1/48 idol to guam de koishitara...
168;AKB1/48: Idol to Guam de Koishitara...;Xbox 360;2011;Bandai Namco Games;0.01;0.0;0.0;0.01;0.0;7th Gen;Home Console;Microsoft;akb1/48 idol to guam de koishitara...
169;AKB1/48: Idol to Koishitara...;PlayStation Portable;2010;Bandai Namco Games;0.41;0.0;0.0;0.41;0.0;6th Gen;Handheld;Sony;akb1/48 idol to koishitara...
170;AKB48+Me;Nintendo 3DS;2012;Jupiter Corporation;0.11;0.0;0.0;0.11;0.0;8th Gen;Handheld;Nintendo;akb48+me
171;AMF Bowling 2004;Xbox;2003;Bethesda Softworks;0.29;0.22;0.06;0.0;0.01;6th Gen;Home Console;Microsoft;amf bowling 2004
172;AMF Bowling Pinbusters!;Nintendo DS;2008;4J Studios;0.06;0.06;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;amf bowling pinbusters!
